"Season","Week","coach","team","tie","PF","PA","awin","win","pywin"
1967,9,"Wally Lemm","TEN",0,10,3,1,1,0.945494968407233
1967,9,"John Rauch","LV",0,51,10,1,1,0.979392957840053
1967,9,"Hank Stram","KC",0,52,9,1,1,0.984587218676708
1967,9,"Weeb Ewbank","NYJ",0,30,23,1,1,0.65242517728184
1967,10,"Joe Collier","BUF",0,35,13,1,1,0.912714990534126
1967,10,"Hank Stram","KC",0,42,18,1,1,0.881644481509043
1967,10,"John Rauch","LV",0,21,17,1,1,0.622647915354871
1967,10,"Mike Holovak","NE",0,18,7,1,1,0.903642972665804
1967,11,"Sid Gillman","LAC",0,24,0,1,1,1
1967,11,"Weeb Ewbank","NYJ",0,20,10,1,1,0.837909980755396
1967,11,"Hank Stram","KC",0,33,10,1,1,0.94425435327709
1967,11,"Wally Lemm","TEN",0,20,18,1,1,0.562103747756204
1967,12,"John Rauch","LV",0,31,17,1,1,0.805938770807116
1967,12,"Sid Gillman","LAC",0,17,16,1,1,0.535858421072182
1967,12,"Lou Saban","DEN",0,21,20,1,1,0.528876004545605
1967,12,"Weeb Ewbank","NYJ",0,29,24,1,1,0.610283378120714
1967,13,"John Rauch","LV",0,44,22,1,1,0.837909980755396
1967,13,"Sid Gillman","LAC",0,24,20,1,1,0.60637551614466
1967,13,"George Wilson","MIA",0,17,14,1,1,0.613049701402781
1967,13,"Wally Lemm","TEN",0,27,6,1,1,0.972472691079262
1967,14,"John Rauch","LV",0,41,21,1,1,0.830002872345547
1967,14,"Wally Lemm","TEN",0,17,14,1,1,0.613049701402781
1967,14,"Hank Stram","KC",0,23,13,1,1,0.794487650413733
1967,14,"Lou Saban","DEN",0,33,24,1,1,0.680209630011626
1967,15,"Joe Collier","BUF",0,44,16,1,1,0.916636021036077
1967,15,"John Rauch","LV",0,19,7,1,1,0.914237875637106
1967,15,"George Wilson","MIA",0,41,24,1,1,0.780602040301313
1967,15,"Hank Stram","KC",0,21,7,1,1,0.931100039727795
1967,16,"Wally Lemm","TEN",0,24,17,1,1,0.693656944691229
1967,16,"George Wilson","MIA",0,41,32,1,1,0.64276186659746
1967,16,"John Rauch","LV",0,38,29,1,1,0.654886385128279
1967,16,"Hank Stram","KC",0,38,24,1,1,0.748210629257221
1967,17,"Wally Lemm","TEN",0,41,10,1,1,0.965909096173442
1967,17,"Weeb Ewbank","NYJ",0,42,31,1,1,0.672546968401359
1967,17,"John Rauch","LV",0,28,21,1,1,0.66414177276322
1968,1,"Sid Gillman","LAC",0,29,13,1,1,0.870068113846677
1968,1,"Mike Holovak","NE",0,16,7,1,1,0.876449403694172
1968,1,"Hank Stram","KC",0,26,21,1,1,0.623908349721205
1968,2,"Wally Lemm","TEN",0,24,10,1,1,0.888435674032338
1968,2,"John Rauch","LV",0,48,6,1,1,0.992813056826994
1968,2,"Weeb Ewbank","NYJ",0,20,19,1,1,0.530353905103496
1968,2,"Paul Brown","CIN",0,24,10,1,1,0.888435674032338
1968,3,"John Rauch","LV",0,47,21,1,1,0.87094404231529
