Head_Coach,Coach,weight,group,lrole
Sam Wyche,Mike Mularkey,2,aOC,aOC
Sean McDermott,David Culley,2,aOC,aOC
Sean McVay,Brandon Staley,1,DC,DC
Sean McVay,Matt LaFleur,1,OC,OC
Sean McVay,Zac Taylor,2,aOC,aOC
Sean Payton,Dan Campbell,10,aOC,aOC
Sean Payton,Dennis Allen,5,aDC,aDC
Sean Payton,Doug Marrone,3,OC,OC
Sean Payton,Marc Trestman,1,aC,aC
Sid Gillman,Bum Phillips,5,aDC,DC
Sid Gillman,Charlie Waller,3,aOC,aOC
Sid Gillman,Ed Biles,1,aDC,aDC
Sid Gillman,Richie Petitbon,1,aDC,aDC
Steve Mariucci,Adam Gase,3,Scout,aOC
Steve Mariucci,Dan Quinn,2,aDC,aDC
Steve Mariucci,Marty Mornhinweg,8,aOC,OC
Steve Spagnuolo,Pat Shurmur,2,OC,OC
Steve Spurrier,Hue Jackson,2,aOC,OC
Steve Spurrier,Marvin Lewis,1,DC,DC
Ted Marchibroda,Bill Belichick,1,aSTC,aSTC
Ted Marchibroda,Eric Mangini,2,aOC,aOC
Ted Marchibroda,Jim Schwartz,3,aDC,aDC
Ted Marchibroda,Ken Whisenhunt,2,aOC,aOC
Ted Marchibroda,Marvin Lewis,3,DC,DC
Ted Marchibroda,Pete McCulley,2,aOC,aOC
Ted Marchibroda,Rick Venturi,3,DC,aDC
Ted Marchibroda,Vince Tobin,2,DC,DC
Todd Haley,Nick Sirianni,3,aOC,aOC
Tom Cable,Hue Jackson,1,OC,OC
Tom Coughlin,Ben McAdoo,2,OC,OC
Tom Coughlin,Bobby Petrino,3,aOC,OC
Tom Coughlin,Chris Palmer,2,OC,OC
Tom Coughlin,Dick Jauron,4,DC,DC
Tom Coughlin,Kevin Gilbride,2,OC,OC
Tom Coughlin,Lane Kiffin,1,aDC,aDC
Tom Coughlin,Matt Rhule,1,aOC,aOC
Tom Coughlin,Steve Spagnuolo,2,DC,DC
Tom Coughlin,Tony Sparano,1,aOC,aOC
Tom Fears,Ed Biles,2,aDC,aDC
Tom Fears,Ed Khayat,4,aDC,aDC
Tom Fears,J.D. Roberts,2,aDC,aDC
Tom Fears,Jerry Smith,2,aDC,aDC
Tom Flores,Art Shell,5,aOC,aOC
Tom Landry,Dan Reeves,6,OC,OC
Tom Landry,Dick Nolan,2,DC,DC
Tom Landry,Gene Stallings,14,aDC,aDC
Tom Landry,John Mackovic,2,aOC,aOC
Tom Landry,Mike Ditka,18,aOC,aSTC
Tom Landry,Raymond Berry,2,aOC,aOC
Tom Landry,Ron Meyer,2,Scout,Scout
Tommy Hudspeth,Bill Belichick,2,aOC,aOC
Tommy Hudspeth,Jerry Glanville,1,aSTC,aSTC
Tommy Hudspeth,Joe Bugel,1,aOC,aOC
Tommy Prothro,Bill Walsh,1,OC,OC
Tommy Prothro,Dick Vermeil,2,aOC,aOC
Tommy Prothro,Ray Perkins,1,OC,OC
Tommy Prothro,Rich Brooks,2,aSTC,aSTC
Tony Dungy,Frank Reich,3,Intern,aOC
Tony Dungy,Herm Edwards,10,aDC,aHC
Tony Dungy,Jim Caldwell,15,aOC,aOC
Tony Dungy,Leslie Frazier,2,aDC,aDC
Tony Dungy,Lovie Smith,5,aDC,aDC
Tony Dungy,Mike Tomlin,1,aDC,aDC
Tony Dungy,Rod Marinelli,6,aDC,aDC
Tony Sparano,Dan Campbell,2,aOC,aOC
Tony Sparano,Todd Bowles,8,aDC,aHC
Vic Fangio,Brandon Staley,1,aDC,aDC
Vince Lombardi,Harland Svare,1,DC,DC
Vince Lombardi,Jerry Burns,2,aDC,aDC
Vince Lombardi,Mike McCormack,1,aDC,aDC
Vince Lombardi,Phil Bengtson,2,DC,DC
Vince Tobin,Dave McGinnis,5,DC,DC
Vince Tobin,Jim Fassel,1,OC,OC
Vince Tobin,Marc Trestman,3,OC,OC
Wade Phillips,Jason Garrett,7,OC,OC
Wade Phillips,Jim Fassel,2,OC,OC
Wade Phillips,Todd Bowles,1,aDC,aDC
Wade Phillips,Tony Sparano,2,aOC,aOC
Walt Michaels,Dan Henning,4,aOC,aOC
Walt Michaels,Joe Walton,2,OC,OC
Wayne Fontes,June Jones,4,aOC,aOC
Weeb Ewbank,Buddy Ryan,6,aDC,aDC
Weeb Ewbank,Chuck Knox,1,aOC,aOC
Weeb Ewbank,Clive Rush,3,OC,OC
Weeb Ewbank,Ed Biles,3,aDC,aDC
Weeb Ewbank,Ken Meyer,4,aOC,aOC
Weeb Ewbank,Walt Michaels,11,aDC,aDC
Bill Belichick,Brian Daboll,11,aOC,aOC
Romeo Crennel,Brian Daboll,1,OC,OC
Eric Mangini,Brian Daboll,4,OC,OC
Sean McDermott,Brian Daboll,4,OC,OC
Tony Sparano,Brian Daboll,1,OC,OC
Jason Garrett,Matt Eberflus,7,aDC,aDC
Eric Mangini,Matt Eberflus,2,aDC,aDC
Frank Reich,Matt Eberflus,4,DC,DC
Gus Bradley,Nathaniel Hackett,2,aOC,aOC
Jon Gruden,Nathaniel Hackett,2,aOC,aOC
Dick Jauron,Nathaniel Hackett,2,aOC,aOC
Matt LaFleur,Nathaniel Hackett,3,OC,OC
Doug Marrone,Nathaniel Hackett,4,OC,OC
Gary Kubiak,Mike McDaniel,3,aOC,aOC
Mike Pettine,Mike McDaniel,1,aOC,aOC
Dan Quinn,Mike McDaniel,2,aOC,aOC
Kyle Shanahan,Mike McDaniel,5,aOC,OC
Mike Shanahan,Mike McDaniel,4,aOC,aOC
Jay Gruden,Kevin O'Connell,3,aOC,OC
Chip Kelly,Kevin O'Connell,1,aOC,aOC
Sean McVay,Kevin O'Connell,2,OC,OC
Mike Pettine,Kevin O'Connell,1,aOC,aOC
Kyle Shanahan,DeMeco Ryans,6,aDC,DC
Norv Turner,Shane Steichen,2,aDC,aDC
Rob Chudzinski,Shane Steichen,1,aOC,aOC
Mike McCoy,Shane Steichen,3,aOC,aOC
Anthony Lynn,Shane Steichen,4,aOC,OC
Nick Sirianni,Shane Steichen,2,OC,OC
Bobby Petrino,Jonathan Gannon,1,aDC,aDC
Steve Spagnuolo,Jonathan Gannon,3,Scout,Scout
Mike Munchak,Jonathan Gannon,2,aDC,aDC
Mike Zimmer,Jonathan Gannon,4,aDC,aDC
Frank Reich,Jonathan Gannon,3,aDC,aDC
Nick Sirianni,Jonathan Gannon,2,DC,DC
John Harbaugh,Mike Macdonald,9,aDC,DC
Pete Carroll,Dave Canales,12,aOC,aOC
Todd Bowles,Dave Canales,1,OC,OC
Josh McDaniels,Brian Callahan,1,aOC,aOC
John Fox,Brian Callahan,4,aOC,aOC
Gary Kubiak,Brian Callahan,1,aOC,aOC
Jim Caldwell,Brian Callahan,2,aOC,aOC
Jon Gruden,Brian Callahan,1,aOC,aOC
Zac Taylor,Brian Callahan,5,OC,OC
Bill Belichick,Jerod Mayo,5,aDC,aDC
Josh McDaniels,Antonio Pierce,2,aDC,aDC
