Head_Coach,Coach,weight,group,lrole
Charley Winner,Leeman Bennett,1,aOC,aOC
Charley Winner,Red Miller,5,aOC,aOC
Charley Winner,Rick Forzano,2,aOC,aOC
Charley Winner,Sam Rutigliano,2,aDC,aDC
Charlie Waller,Bum Phillips,2,DC,DC
Chris Palmer,Ken Whisenhunt,1,aOC,aOC
Chris Palmer,Romeo Crennel,2,aDC,DC
Chris Palmer,Tony Sparano,2,aOC,aOC
Chuck Fairbanks,Hank Bullough,8,aDC,DC
Chuck Fairbanks,Ray Perkins,4,aOC,aOC
Chuck Fairbanks,Raymond Berry,1,aOC,aOC
Chuck Fairbanks,Red Miller,4,aOC,aOC
Chuck Fairbanks,Ron Erhardt,6,aOC,OC
Chuck Fairbanks,Sam Rutigliano,1,aOC,aOC
Chuck Knox,Dick Vermeil,2,aOC,aSTC
Chuck Knox,Kay Stephenson,6,aOC,aOC
Chuck Knox,Ken Meyer,4,OC,OC
Chuck Knox,Leeman Bennett,4,aOC,aOC
Chuck Knox,Mike Martz,3,aOC,aOC
Chuck Noll,Bud Carson,6,DC,DC
Chuck Noll,John Fox,3,aDC,aDC
Chuck Noll,Rod Rust,1,DC,DC
Chuck Noll,Tony Dungy,8,DC,DC
Chuck Pagano,Bruce Arians,1,OC,OC
Clive Rush,John Mazur,2,OC,OC
Dan Devine,Bart Starr,1,aOC,aOC
Dan Devine,Hank Kuhlmann,4,aSTC,aSTC
Dan Henning,Gunther Cunningham,2,aDC,aDC
Dan Quinn,Kyle Shanahan,2,OC,OC
Dan Quinn,Matt LaFleur,2,aOC,aOC
Dan Reeves,Chan Gailey,11,aOC,OC
Dan Reeves,Dennis Allen,2,aDC,aDC
Dan Reeves,Mike Nolan,16,aDC,DC
Dan Reeves,Mike Shanahan,4,OC,OC
Dan Reeves,Rod Dowhower,2,OC,OC
Dan Reeves,Wade Phillips,4,DC,DC
Darryl Rogers,Wayne Fontes,4,DC,DC
Dave Campo,Mike Zimmer,3,DC,DC
Dave Wannstedt,Dave McGinnis,3,aDC,aDC
Dave Wannstedt,Greg Schiano,3,aDC,aDC
Dave Wannstedt,Marc Trestman,1,aHC,aHC
Dave Wannstedt,Ron Rivera,2,aDC,aDC
David Shula,Gary Moeller,2,aOC,aOC
Dennis Erickson,Dan Quinn,2,aDC,aDC
Dennis Erickson,Jim Zorn,1,aOC,aOC
Dennis Green,Brian Billick,8,OC,OC
Dennis Green,Mike Tice,6,aOC,aOC
Dennis Green,Tony Dungy,4,DC,DC
Dick Jauron,Todd Haley,3,aOC,aOC
Dick Nolan,Ed Hughes,3,aOC,OC
Dick Nolan,Ken Meyer,1,aOC,aOC
Dick Nolan,Paul Wiggin,7,aDC,DC
Dick Nolan,Rich Brooks,2,aDC,aDC
Dick Vermeil,Fred Bruney,6,aDC,aDC
Dick Vermeil,Mike Martz,1,OC,OC
Dick Vermeil,Rod Rust,2,aDC,aDC
Dom Capers,Robert Saleh,1,Intern,Intern
Dom Capers,Vic Fangio,8,DC,DC
Don Coryell,Al Saunders,3,aOC,aOC
Don Coryell,Gunther Cunningham,2,aDC,aDC
Don Coryell,Jim Hanifan,7,aOC,aOC
Don Coryell,Jim Mora,1,aDC,aDC
Don Coryell,Joe Gibbs,7,aOC,OC
Don Coryell,Ray Perkins,1,OC,OC
Don Coryell,Rod Dowhower,1,aOC,aOC
Don McCafferty,Hank Bullough,3,aDC,aDC
Don McCafferty,John Sandusky,2,aDC,aDC
Don McCafferty,Raymond Berry,1,aOC,aOC
Don McCafferty,Red Miller,2,aOC,aOC
Don McCafferty,Rick Forzano,1,aOC,aOC
Don Shula,Bill Arnsparger,12,aDC,DC
Don Shula,Chuck Noll,3,aDC,aDC
Don Shula,Dan Henning,2,aOC,aOC
Don Shula,David Shula,10,aOC,aOC
Don Shula,Don McCafferty,4,aOC,aOC
Don Shula,Howard Schnellenberger,3,OC,OC
Don Shula,John Sandusky,4,aOC,aOC
Don Shula,Monte Clark,6,aOC,aOC
Doug Marrone,Mike Pettine,1,DC,DC
Doug Pederson,Frank Reich,2,OC,OC
Ed Khayat,Walt Michaels,1,DC,DC
Eric Mangini,Dan Quinn,2,aDC,aDC
Forrest Gregg,Bruce Coslet,3,aOC,aOC
Forrest Gregg,Dick Jauron,2,aDC,aDC
Forrest Gregg,Dick LeBeau,4,aDC,aDC
Forrest Gregg,Frank Gansz,2,aOC,aSTC
Forrest Gregg,Hank Bullough,8,aDC,DC
Forrest Gregg,Lindy Infante,3,OC,OC
Forrest Gregg,Raymond Berry,2,aOC,aOC
Forrest Gregg,Tom Coughlin,2,aOC,aOC
Frank Gansz,Rod Rust,1,DC,DC
Frank Kush,Bud Carson,1,DC,DC
Frank Kush,Gunther Cunningham,6,aDC,aDC
Frank Kush,Hal Hunter,2,aOC,aOC
Frank Kush,Rick Venturi,3,aDC,DC
Frank Reich,Nick Sirianni,3,OC,OC
Fred O'Connor,Frank Gansz,2,aOC,aSTC
Fred O'Connor,Les Steckel,1,aOC,aOC
Fred O'Connor,Mike White,1,aOC,aOC
Gary Kubiak,Kyle Shanahan,4,aOC,OC
Gary Kubiak,Matt LaFleur,2,aOC,aOC
Gary Kubiak,Robert Saleh,5,aDC,aDC
Gary Kubiak,Vance Joseph,3,aDC,aDC
Gary Moeller,Jim Zorn,1,aOC,aOC
Gene Stallings,Hank Kuhlmann,3,aOC,aOC
George Allen,Dick Vermeil,1,aSTC,aSTC
George Allen,Howard Schnellenberger,4,aOC,aOC
George Allen,Jack Patera,1,aDC,aDC
George Allen,Joe Walton,4,aOC,aOC
George Allen,Marion Campbell,2,aDC,aDC
George Allen,Marv Levy,3,aSTC,aSTC
George Allen,Mike McCormack,2,aOC,aOC
George Allen,Pete McCulley,1,aOC,aOC
George Allen,Ted Marchibroda,9,aOC,OC
George Halas,Abe Gibron,2,aOC,aOC
George Halas,Jim Dooley,2,DC,DC
George Seifert,Gary Kubiak,1,aOC,aOC
George Seifert,Jeff Fisher,2,aDC,aDC
George Seifert,Jon Gruden,1,aOC,aOC
George Seifert,Marc Trestman,2,OC,OC
George Seifert,Mike Holmgren,3,OC,OC
George Seifert,Mike McCoy,2,aOC,aOC
George Seifert,Ray Rhodes,4,aDC,DC
George Wilson,Ernie Hefferle,4,aOC,aOC
Gus Bradley,Robert Saleh,3,aDC,aDC
Hank Stram,Rich Kotite,1,aOC,aOC
Hank Stram,Sam Rutigliano,2,aOC,aOC
