"Week","Day","Date","Time","W.T","L.T","PtsW","PtsL","YdsW","TOW","YdsL","TOL","Home","Away","T","HW","HL","AW","AL","Season","Home_Coach","Away_Coach"
10,"Sun","1966-11-06",NA,"Denver Broncos","Boston Patriots",17,10,240,7,110,5,0,1,0,0,1,1,0,1966,"Mike Holovak","Ray Malavasi"
11,"Sun","1966-11-13",NA,"Boston Patriots","Houston Oilers",27,21,391,0,374,0,1,0,0,1,0,0,1,1966,"Mike Holovak","Wally Lemm"
11,"Sun","1966-11-13",NA,"Kansas City Chiefs","Miami Dolphins",34,16,396,5,160,6,1,0,0,1,0,0,1,1966,"Hank Stram","George Wilson"
11,"Sun","1966-11-13",NA,"Oakland Raiders","San Diego Chargers",41,19,477,0,318,2,0,1,0,0,1,1,0,1966,"Sid Gillman","John Rauch"
11,"Sun","1966-11-13",NA,"Buffalo Bills","New York Jets",14,3,224,0,329,1,1,0,0,1,0,0,1,1966,"Joe Collier","Weeb Ewbank"
12,"Sun","1966-11-20",NA,"New York Jets","Miami Dolphins",30,13,314,0,204,1,1,0,0,1,0,0,1,1966,"Weeb Ewbank","George Wilson"
12,"Sun","1966-11-20",NA,"Oakland Raiders","Denver Broncos",17,3,160,0,102,3,0,1,0,0,1,1,0,1966,"Ray Malavasi","John Rauch"
12,"Sun","1966-11-20",NA,"Boston Patriots","Kansas City Chiefs",27,27,361,2,359,4,0,1,1,0,0,0,0,1966,"Hank Stram","Mike Holovak"
12,"Sun","1966-11-20",NA,"Buffalo Bills","Houston Oilers",42,20,508,0,315,3,0,1,0,0,1,1,0,1966,"Wally Lemm","Joe Collier"
13,"Thu","1966-11-24",NA,"Buffalo Bills","Oakland Raiders",31,10,465,2,315,4,0,1,0,0,1,1,0,1966,"John Rauch","Joe Collier"
13,"Sun","1966-11-27",NA,"Denver Broncos","San Diego Chargers",20,17,343,3,286,2,1,0,0,1,0,0,1,1966,"Ray Malavasi","Sid Gillman"
13,"Sun","1966-11-27",NA,"Boston Patriots","Miami Dolphins",20,14,391,2,334,4,0,1,0,0,1,1,0,1966,"George Wilson","Mike Holovak"
13,"Sun","1966-11-27",NA,"Kansas City Chiefs","New York Jets",32,24,439,1,283,1,0,1,0,0,1,1,0,1966,"Weeb Ewbank","Hank Stram"
14,"Sat","1966-12-03",NA,"Oakland Raiders","New York Jets",28,28,415,1,489,5,1,0,1,0,0,0,0,1966,"John Rauch","Weeb Ewbank"
14,"Sun","1966-12-04",NA,"Denver Broncos","Miami Dolphins",17,7,353,2,255,1,1,0,0,1,0,0,1,1966,"Ray Malavasi","George Wilson"
14,"Sun","1966-12-04",NA,"San Diego Chargers","Houston Oilers",28,22,378,3,395,2,0,1,0,0,1,1,0,1966,"Wally Lemm","Sid Gillman"
14,"Sun","1966-12-04",NA,"Boston Patriots","Buffalo Bills",14,3,226,1,314,4,1,0,0,1,0,0,1,1966,"Mike Holovak","Joe Collier"
15,"Sun","1966-12-11",NA,"Boston Patriots","Houston Oilers",38,14,512,0,235,1,0,1,0,0,1,1,0,1966,"Wally Lemm","Mike Holovak"
15,"Sun","1966-12-11",NA,"San Diego Chargers","New York Jets",42,27,425,1,335,4,1,0,0,1,0,0,1,1966,"Sid Gillman","Weeb Ewbank"
15,"Sun","1966-12-11",NA,"Kansas City Chiefs","Miami Dolphins",19,18,316,2,286,4,0,1,0,0,1,1,0,1966,"George Wilson","Hank Stram"
15,"Sun","1966-12-11",NA,"Oakland Raiders","Denver Broncos",28,10,377,1,202,2,1,0,0,1,0,0,1,1966,"John Rauch","Ray Malavasi"
16,"Sat","1966-12-17",NA,"New York Jets","Boston Patriots",38,28,528,0,461,3,1,0,0,1,0,0,1,1966,"Weeb Ewbank","Mike Holovak"
16,"Sun","1966-12-18",NA,"Miami Dolphins","Houston Oilers",29,28,417,2,307,2,1,0,0,1,0,0,1,1966,"George Wilson","Wally Lemm"
16,"Sun","1966-12-18",NA,"Kansas City Chiefs","San Diego Chargers",27,17,387,2,326,2,0,1,0,0,1,1,0,1966,"Sid Gillman","Hank Stram"
16,"Sun","1966-12-18",NA,"Buffalo Bills","Denver Broncos",38,21,336,4,364,5,1,0,0,1,0,0,1,1966,"Joe Collier","Ray Malavasi"
0,"Sun","1967-01-01",NA,"Kansas City Chiefs","Buffalo Bills",31,7,277,0,255,4,0,1,0,0,1,1,0,1966,"Joe Collier","Hank Stram"
0,"Sun","1967-01-15",NA,"Green Bay Packers","Kansas City Chiefs",35,10,358,1,239,1,0,0,0,0,0,0,0,1966,"Vince Lombardi","Hank Stram"
1,"Sun","1967-09-03",NA,"Denver Broncos","Boston Patriots",26,21,209,1,302,7,1,0,0,1,0,0,1,1967,"Lou Saban","Mike Holovak"
2,"Sat","1967-09-09",NA,"Kansas City Chiefs","Houston Oilers",25,20,312,1,336,2,0,1,0,0,1,1,0,1967,"Wally Lemm","Hank Stram"
2,"Sat","1967-09-09",NA,"San Diego Chargers","Boston Patriots",28,14,330,2,322,4,1,0,0,1,0,0,1,1967,"Sid Gillman","Mike Holovak"
2,"Sun","1967-09-10",NA,"Buffalo Bills","New York Jets",20,17,248,2,287,0,1,0,0,1,0,0,1,1967,"Joe Collier","Weeb Ewbank"
2,"Sun","1967-09-10",NA,"Oakland Raiders","Denver Broncos",51,0,388,1,-5,2,1,0,0,1,0,0,1,1967,"John Rauch","Lou Saban"
3,"Sun","1967-09-17",NA,"Houston Oilers","Buffalo Bills",20,3,139,2,193,4,0,1,0,0,1,1,0,1967,"Joe Collier","Wally Lemm"
3,"Sun","1967-09-17",NA,"Oakland Raiders","Boston Patriots",35,7,367,1,256,5,1,0,0,1,0,0,1,1967,"John Rauch","Mike Holovak"
3,"Sun","1967-09-17",NA,"Miami Dolphins","Denver Broncos",35,21,435,3,126,2,1,0,0,1,0,0,1,1967,"George Wilson","Lou Saban"
4,"Sun","1967-09-24",NA,"Kansas City Chiefs","Miami Dolphins",24,0,349,1,124,5,0,1,0,0,1,1,0,1967,"George Wilson","Hank Stram"
4,"Sun","1967-09-24",NA,"San Diego Chargers","Houston Oilers",13,3,325,1,166,2,1,0,0,1,0,0,1,1967,"Sid Gillman","Wally Lemm"
4,"Sun","1967-09-24",NA,"Boston Patriots","Buffalo Bills",23,0,265,0,241,6,0,1,0,0,1,1,0,1967,"Joe Collier","Mike Holovak"
4,"Sun","1967-09-24",NA,"New York Jets","Denver Broncos",38,24,478,2,359,2,0,1,0,0,1,1,0,1967,"Lou Saban","Weeb Ewbank"
5,"Sun","1967-10-01",NA,"Oakland Raiders","Kansas City Chiefs",23,21,306,2,243,3,1,0,0,1,0,0,1,1967,"John Rauch","Hank Stram"
5,"Sun","1967-10-01",NA,"New York Jets","Miami Dolphins",29,7,484,1,208,3,1,0,0,1,0,0,1,1967,"Weeb Ewbank","George Wilson"
